timestamp_millis,kpi,kpi_label
1583140320000,667.118,0
1583140380000,611.751,0
1583140440000,599.456,0
1583140500000,621.446,0
1583140560000,1418.234,0
1583140620000,1015.559,0
1583140680000,473.71,0
1583140740000,542.817,0
1583140800000,558.563,0
1583140860000,583.382,0
1583140920000,581.846,0
1583140980000,570.45,0
1583141040000,519.614,0
1583141100000,526.549,0
1583141160000,651.618,0
1583141220000,608.1,0
1583141280000,492.73800000000006,0
1583141340000,497.253,0
1583141400000,835.279,0
1583141460000,633.628,0
1583141520000,667.3430000000002,0
1583141580000,604.697,0
1583141640000,630.376,0
1583141700000,671.8430000000002,0
1583141760000,592.693,0
1583141820000,676.492,0
1583141880000,650.757,0
1583141940000,566.13,0
1583142000000,502.288,0
1583142060000,484.619,0
1583142120000,474.489,0
1583142180000,432.921,0
1583142240000,545.991,0
1583142300000,430.603,0
1583142360000,467.159,0
1583142420000,581.4119999999998,0
1583142480000,546.617,0
1583142540000,470.909,0
1583142600000,435.182,0
1583142660000,513.133,0
1583142720000,508.11300000000006,0
1583142780000,509.376,0
1583142840000,454.65,0
1583142900000,422.452,0
1583142960000,573.7919999999998,0
1583143020000,578.018,0
1583143080000,704.368,0
1583143140000,783.9960000000002,0
1583143200000,934.508,0
1583143260000,1447.6170000000004,0
1583143320000,1763.479,0
1583143380000,1620.905,0
1583143440000,989.099,0
1583143500000,743.6110000000001,0
1583143560000,1292.247,0
1583143620000,1690.747,0
1583143680000,1540.336,0
1583143740000,1694.318,0
1583143800000,1560.581,0
1583143860000,1154.317,0
1583143920000,1050.097,0
1583143980000,1089.299,0
1583144040000,1183.359,0
1583144100000,1037.466,0
1583144160000,837.428,0
1583144220000,988.264,0
1583144280000,837.743,0
1583144340000,842.273,0
1583144400000,772.16,0
1583144460000,713.8610000000001,0
1583144520000,747.602,0
1583144580000,800.798,0
1583144640000,992.426,0
1583144700000,922.435,0
1583144760000,956.044,0
1583144820000,705.789,0
1583144880000,700.253,0
1583144940000,697.4689999999998,0
1583145000000,660.465,0
1583145060000,982.923,0
1583145120000,919.246,0
1583145180000,862.345,0
1583145240000,747.427,0
1583145300000,703.566,0
1583145360000,644.784,0
1583145420000,766.7360000000001,0
1583145480000,845.1489999999999,0
1583145540000,792.8939999999999,0
1583145600000,773.23,0
1583145660000,891.623,0
1583145720000,845.549,0
1583145780000,803.408,0
1583145840000,740.878,0
1583145900000,668.717,0
1583145960000,689.7539999999998,0
1583146020000,649.689,0
1583146080000,618.3240000000002,0
1583146140000,618.325,0
1583146200000,646.825,0
1583146260000,653.96,0
1583146320000,778.937,0
1583146380000,696.742,0
1583146440000,656.812,0
